Fitur;PCA;Kernel;C;Akurasi
MTCD;0,6;rbf;10;98,958 $\pm$ 0,51
MTCD;0,6;rbf;100;98,958 $\pm$ 0,51
MTCD;0,4;rbf;1;98,958 $\pm$ 0,625
MTCD;N/A;rbf;10;98,958 $\pm$ 0,571
MTCD;0,2;linear;1;98,906 $\pm$ 0,4
MTCD;0,8;rbf;1;98,958 $\pm$ 0,737
MTCD;N/A;linear;1;98,958 $\pm$ 0,765
MTCD;0,4;rbf;1;99,01 $\pm$ 0,771
MTCD;0,4;linear;1;98,906 $\pm$ 0,812
MTCD;0,6;rbf;10;98,958 $\pm$ 0,846
MTCD;0,4;rbf;100;98,958 $\pm$ 0,859
MTCD;0,8;rbf;100;98,958 $\pm$ 0,846
MTCD;0,8;rbf;10;98,958 $\pm$ 0,846
MTCD;0,6;rbf;100;98,958 $\pm$ 0,846
MTCD;0,4;rbf;10;98,958 $\pm$ 0,859
MTCD;0,2;rbf;1;98,906 $\pm$ 0,308
MTCD;0,6;rbf;100;98,906 $\pm$ 0,742
MTCD;0,6;rbf;10;98,906 $\pm$ 0,742
MTCD;0,6;linear;1;98,906 $\pm$ 0,497
MTCD;0,8;linear;10;98,906 $\pm$ 0,631
MTCD;0,6;linear;100;98,906 $\pm$ 0,596
